title,artist,url
Deja Vu,Dave Rodgers,https://www.youtube.com/watch?v=hE6UA_Fvz-A
BEAT OF THE RISING SUN,Dave Rodgers,https://www.youtube.com/watch?v=5WyN2y2FPnQ
Crazy on Emotion,Ace,https://www.youtube.com/watch?v=af03gdCpmCQ
Night of fire,Niko,https://www.youtube.com/watch?v=7BTWpImCDq4
Adrenaline,Ace,https://www.youtube.com/watch?v=UKyGTyXvuGI
Heartbeat,Nathalie,https://www.youtube.com/watch?v=zYtOIAblUHs
GAS GAS GAS,MANUEL,https://www.youtube.com/watch?v=fTFxE32onKs
MAD DESIRE,Stephy Martini,https://www.youtube.com/watch?v=c2Gu4W1A9nQ
DON'T STOP THE MUSIC,Lou Grant,https://www.youtube.com/watch?v=gwKcVEFeJnI
Golden Age,Max Coveri,https://www.youtube.com/watch?v=jKY-gAkSwOM
I NEED YOUR LOVE,Dave Simon,https://www.youtube.com/watch?v=Qi31WgiOjRg
Dancing,Vicky Vale,https://www.youtube.com/watch?v=hkGT8MgBUaE
BLACK OUT,Overload,https://www.youtube.com/watch?v=hypo7xIQkxU
I LOVE YOU LIKE YOU ARE,Valentina,https://www.youtube.com/watch?v=rWg_uLQhBl8
STATION TO STATION,Derreck Simons,https://www.youtube.com/watch?v=-S2xqd7gyO8
Gimme The Night,Dave MC Loud,https://www.youtube.com/watch?v=ocKsTrQ_R8s
BOOM BOOM JAPAN,Dave Rodgers,https://www.youtube.com/watch?v=6dKnG3WMDck
The Top,Ken Blast,https://www.youtube.com/watch?v=aPI7ZeOGckQ
SPEED LOVER,Speedman,https://www.youtube.com/watch?v=6DqF86_1T6k
Rider of the Sky,Ace,https://www.youtube.com/watch?v=7c1HpWqKQHU
I WANNA BE THE NIGHT,Chris T.,https://www.youtube.com/watch?v=xLo_vFp27-I
Running In The 90's,Max Coveri,https://www.youtube.com/watch?v=_Fxil2QY0wE
